13101,13,千代田区
13102,13,中央区
13103,13,港区
13104,13,新宿区
13105,13,文京区
13106,13,台東区
13107,13,墨田区
13108,13,江東区
13109,13,品川区
13110,13,目黒区
13111,13,大田区
13112,13,世田谷区
13113,13,渋谷区
13114,13,中野区
13115,13,杉並区
13116,13,豊島区
13117,13,北区
13118,13,荒川区
13119,13,板橋区
13120,13,練馬区
13121,13,足立区
13122,13,葛飾区
13123,13,江戸川区
13201,13,八王子市
13202,13,立川市
13203,13,武蔵野市
13204,13,三鷹市
13205,13,青梅市
13206,13,府中市
13207,13,昭島市
13208,13,調布市
13209,13,町田市
13210,13,小金井市
13211,13,小平市
13212,13,日野市
13213,13,東村山市
13214,13,国分寺市
13215,13,国立市
13218,13,福生市
13219,13,狛江市
13220,13,東大和市
13221,13,清瀬市
13222,13,東久留米市
13223,13,武蔵村山市
13224,13,多摩市
13225,13,稲城市
13227,13,羽村市
13228,13,あきる野市
13229,13,西東京市
13303,13,西多摩郡瑞穂町
13305,13,西多摩郡日の出町
13307,13,西多摩郡檜原村
13308,13,西多摩郡奥多摩町
13361,13,大島町
13362,13,利島村
13363,13,新島村
13364,13,神津島村
13381,13,三宅島三宅村
13382,13,御蔵島村
13401,13,八丈島八丈町
13402,13,青ヶ島村
13421,13,小笠原村
